,name,artist,album,duration_sec,popularity,release_date,album_image_url,artist_image_url,genres,track_id,genre_count,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6,genre_7
128,All Of The Lights,Kanye West,My Beautiful Dark Twisted Fantasy,299.613,77,2010-11-22,https://i.scdn.co/image/ab67616d0000b273d9194aa18fa4c9362b47464f,https://i.scdn.co/image/ab6761610000e5eb6e835a500e791bf9c27a422a,"chicago rap, hip hop, rap",22L7bfCiAkJo5xGSQgmiIO,3,chicago rap,hip hop,rap,,,,
129,Just Wanna Rock,Lil Uzi Vert,Pink Tape,123.89,73,2023-06-30,https://i.scdn.co/image/ab67616d0000b273a0e7694a73abed7372474d69,https://i.scdn.co/image/ab6761610000e5eb1234d2f516796badbdf16a89,"hip hop, melodic rap, philly rap, rage rap, rap, trap",4Ls53fBNVfaXTROBi6X8Hw,6,hip hop,melodic rap,philly rap,rage rap,rap,trap,
130,Ni**as In Paris,JAY-Z,Watch The Throne,219.333,80,2011-08-08,https://i.scdn.co/image/ab67616d0000b27352e61456aa4995ba48d94e30,https://i.scdn.co/image/ab6761610000e5ebc75afcd5a9027f60eaebb5e4,"east coast hip hop, gangster rap, hip hop, pop rap, rap",1auxYwYrFRqZP7t3s7w4um,5,east coast hip hop,gangster rap,hip hop,pop rap,rap,,
131,Major Distribution,Drake,Her Loss,170.501,65,2022-11-04,https://i.scdn.co/image/ab67616d0000b27302854a7060fccc1a66a4b5ad,https://i.scdn.co/image/ab6761610000e5eb4293385d324db8558179afd9,"canadian hip hop, canadian pop, hip hop, pop rap, rap",46s57QULU02Voy0Kup6UEb,5,canadian hip hop,canadian pop,hip hop,pop rap,rap,,
132,No Mistakes,Kanye West,ye,123.04,62,2018-06-01,https://i.scdn.co/image/ab67616d0000b2730cd942c1a864afa4e92d04f2,https://i.scdn.co/image/ab6761610000e5eb6e835a500e791bf9c27a422a,"chicago rap, hip hop, rap",35KV2Nuib6jPMVN00O8iba,3,chicago rap,hip hop,rap,,,,
133,Hood Politics,Kendrick Lamar,To Pimp A Butterfly,292.52,60,2015-03-16,https://i.scdn.co/image/ab67616d0000b273cdb645498cd3d8a2db4d05e1,https://i.scdn.co/image/ab6761610000e5eb437b9e2a82505b3d93ff1022,"conscious hip hop, hip hop, rap, west coast rap",2UOYzhusMTypF7oAQwksCj,4,conscious hip hop,hip hop,rap,west coast rap,,,
134,Not Like Us,Kendrick Lamar,Not Like Us,274.192,90,2024-05-04,https://i.scdn.co/image/ab67616d0000b2731ea0c62b2339cbf493a999ad,https://i.scdn.co/image/ab6761610000e5eb437b9e2a82505b3d93ff1022,"conscious hip hop, hip hop, rap, west coast rap",6AI3ezQ4o3HUoP6Dhudph3,4,conscious hip hop,hip hop,rap,west coast rap,,,
135,The Blacker The Berry,Kendrick Lamar,To Pimp A Butterfly,328.826,61,2015-03-16,https://i.scdn.co/image/ab67616d0000b273cdb645498cd3d8a2db4d05e1,https://i.scdn.co/image/ab6761610000e5eb437b9e2a82505b3d93ff1022,"conscious hip hop, hip hop, rap, west coast rap",5Mtt6tZSZA9cXTHGSGpyh0,4,conscious hip hop,hip hop,rap,west coast rap,,,
136,Blow My High (Members Only),Kendrick Lamar,Section.80,215.791,59,2011-07-02,https://i.scdn.co/image/ab67616d0000b273eddb2639b74ac6c202032ebe,https://i.scdn.co/image/ab6761610000e5eb437b9e2a82505b3d93ff1022,"conscious hip hop, hip hop, rap, west coast rap",1FRF0NHXBW4ecdulGkTzJY,4,conscious hip hop,hip hop,rap,west coast rap,,,
137,"Sing About Me, I'm Dying Of Thirst",Kendrick Lamar,"good kid, m.A.A.d city (Deluxe)",723.573,60,2012-10-22,https://i.scdn.co/image/ab67616d0000b27378de8b28de36a74afc0348b5,https://i.scdn.co/image/ab6761610000e5eb437b9e2a82505b3d93ff1022,"conscious hip hop, hip hop, rap, west coast rap",1Z2FvDFZSDQ23s4BDqpWqZ,4,conscious hip hop,hip hop,rap,west coast rap,,,
138,Tú,Myke Towers,Easy Money Baby,204.746,70,2020-01-24,https://i.scdn.co/image/ab67616d0000b273a01abf0f3b93ee5902fef2a7,https://i.scdn.co/image/ab6761610000e5eb8372345609bebaf1e948ef7f,"reggaeton, trap latino, urbano latino",7xX3wvvcZvxGCa06KlgTCp,3,reggaeton,trap latino,urbano latino,,,,
139,"Everyday (feat. Rod Stewart, Miguel & Mark Ronson)",A$AP Rocky,AT.LONG.LAST.A$AP,260.986,78,2015-05-26,https://i.scdn.co/image/ab67616d0000b27381a6a2cafab2e7a4066b5eec,https://i.scdn.co/image/ab6761610000e5eb5c58c41a506a0d6b32cc6cad,"east coast hip hop, hip hop, rap",2N3U8uTYhjX2KwGT0pf5x0,3,east coast hip hop,hip hop,rap,,,,
140,Big Dawgs,Hanumankind,Big Dawgs,190.666,89,2024-07-09,https://i.scdn.co/image/ab67616d0000b273d9afe5c70c43cb2bd34605ea,https://i.scdn.co/image/ab6761610000e5ebd5a94f1d05a422f1057b0e90,"desi hip hop, indian underground rap, malayalam hip hop",0OA00aPt3BV10qeMIs3meW,3,desi hip hop,indian underground rap,malayalam hip hop,,,,
141,God Is,Kanye West,JESUS IS KING,203.141,74,2019-10-25,https://i.scdn.co/image/ab67616d0000b2731bb797bbfe2480650b6c2964,https://i.scdn.co/image/ab6761610000e5eb6e835a500e791bf9c27a422a,"chicago rap, hip hop, rap",6xRWoYwfwIKnT8bQGzKbxR,3,chicago rap,hip hop,rap,,,,
142,Only One,Kanye West,Only One,280.226,55,2015-01-08,https://i.scdn.co/image/ab67616d0000b273f2209e63affaa48af1b0a3b5,https://i.scdn.co/image/ab6761610000e5eb6e835a500e791bf9c27a422a,"chicago rap, hip hop, rap",0j35X8cTq543QDYLOyqB8W,3,chicago rap,hip hop,rap,,,,
143,balearico,Rels B,balearico,150.697,70,2024-08-28,https://i.scdn.co/image/ab67616d0000b2737c5e76c43abd886f4d45004b,https://i.scdn.co/image/ab6761610000e5ebd1e399fd6729a5751e1f4331,"r&b en espanol, spanish hip hop, trap latino, urbano espanol, urbano latino",1wAkBB3pOOjOPAWnjJKvoh,5,r&b en espanol,spanish hip hop,trap latino,urbano espanol,urbano latino,,
144,Mamacita (feat. Rich Homie Quan & Young Thug),Travis Scott,Mamacita (feat. Rich Homie Quan & Young Thug),274.32,63,2014-08-18,https://i.scdn.co/image/ab67616d0000b273a53a4cb046216d7ac049b5bf,https://i.scdn.co/image/ab6761610000e5eb19c2790744c792d05570bb71,"rap, slap house",3SEd8nPd8MpGwk6ZZ8tk2j,2,rap,slap house,,,,,
145,Come to Life,Kanye West,Donda,310.393,58,2021-08-29,https://i.scdn.co/image/ab67616d0000b273cad190f1a73c024e5a40dddd,https://i.scdn.co/image/ab6761610000e5eb6e835a500e791bf9c27a422a,"chicago rap, hip hop, rap",5xvXeuxISyXJDRbZZf4uzd,3,chicago rap,hip hop,rap,,,,
146,Ok Ok pt 2,Kanye West,Donda,204.629,46,2021-08-29,https://i.scdn.co/image/ab67616d0000b273cad190f1a73c024e5a40dddd,https://i.scdn.co/image/ab6761610000e5eb6e835a500e791bf9c27a422a,"chicago rap, hip hop, rap",5ad5uryyzVWs95bK3myGkw,3,chicago rap,hip hop,rap,,,,
147,24,Kanye West,Donda,197.898,58,2021-08-29,https://i.scdn.co/image/ab67616d0000b273cad190f1a73c024e5a40dddd,https://i.scdn.co/image/ab6761610000e5eb6e835a500e791bf9c27a422a,"chicago rap, hip hop, rap",68RhNM8ehkarnEKnCkqlsp,3,chicago rap,hip hop,rap,,,,
148,Vent,NOIT,Vent,176.898,65,2024-03-01,https://i.scdn.co/image/ab67616d0000b27344ae2446b555ef7c0b2b4cda,https://i.scdn.co/image/ab6761610000e5ebb75a4c19b062aa5bac368037,,4yMXKeuRDOIzrh3fBiJYds,1,,,,,,,
149,Diles,Bad Bunny,Diles,286.04,78,2016-08-26,https://i.scdn.co/image/ab67616d0000b273f62aa1dd0b43f583418cd018,https://i.scdn.co/image/ab6761610000e5eb744a4243fb6cc938011a98f4,"reggaeton, trap latino, urbano latino",6C1RD7YQVvt3YQj0CmuTeu,3,reggaeton,trap latino,urbano latino,,,,
150,Soy Peor,Bad Bunny,Soy Peor,257.384,71,2016-12-08,https://i.scdn.co/image/ab67616d0000b273955c3c2ac8d97e1355b2e3c2,https://i.scdn.co/image/ab6761610000e5eb744a4243fb6cc938011a98f4,"reggaeton, trap latino, urbano latino",1JxhrUWZjuI8AOjDJ1JpMN,3,reggaeton,trap latino,urbano latino,,,,
151,Tu No Vive Asi (feat. Mambo Kingz & DJ Luian),Arcángel,Tu No Vive Asi (feat. Mambo Kingz & DJ Luian),264.0,75,2016-09-30,https://i.scdn.co/image/ab67616d0000b2739bf23abed0a1e730a90d3490,https://i.scdn.co/image/ab6761610000e5ebafdf17286a0d7a23ad388587,"latin hip hop, reggaeton, trap latino, urbano latino",6NSMQFKgjpQb0KkjMDYIK0,4,latin hip hop,reggaeton,trap latino,urbano latino,,,
152,0 Sentimientos - Remix,Jon Z,0 Sentimientos (Remix),335.792,63,2017-03-08,https://i.scdn.co/image/ab67616d0000b273f3e57f5cf190c9f311f58a61,https://i.scdn.co/image/ab6761610000e5eb76416e63bfdf421b2ff80a54,"reggaeton, trap latino, urbano latino",3vriYSzwDF3OeGWJKXZcJw,3,reggaeton,trap latino,urbano latino,,,,
153,Every Hour,Kanye West,JESUS IS KING,112.239,56,2019-10-25,https://i.scdn.co/image/ab67616d0000b2731bb797bbfe2480650b6c2964,https://i.scdn.co/image/ab6761610000e5eb6e835a500e791bf9c27a422a,"chicago rap, hip hop, rap",1WnqWQcWcuQbVzgE7ecfCY,3,chicago rap,hip hop,rap,,,,
154,Wouldn't Leave,Kanye West,ye,205.546,60,2018-06-01,https://i.scdn.co/image/ab67616d0000b2730cd942c1a864afa4e92d04f2,https://i.scdn.co/image/ab6761610000e5eb6e835a500e791bf9c27a422a,"chicago rap, hip hop, rap",1nGoy0cEj0extAwXYNYTWd,3,chicago rap,hip hop,rap,,,,
155,Closed On Sunday,Kanye West,JESUS IS KING,151.873,62,2019-10-25,https://i.scdn.co/image/ab67616d0000b2731bb797bbfe2480650b6c2964,https://i.scdn.co/image/ab6761610000e5eb6e835a500e791bf9c27a422a,"chicago rap, hip hop, rap",3JWiDGQX2eTlFvKj3Yssj3,3,chicago rap,hip hop,rap,,,,
